263617,88,2012-07-04 07:58:34,RT
356091,88,2012-07-04 01:41:11,RT
96181,677,2012-07-04 04:25:47,MT
202948,14454,2012-07-04 04:01:54,RT
31042,50233,2012-07-02 01:59:31,MT
222839,36660,2012-07-04 05:09:02,RT
310080,14621,2012-07-04 02:29:40,RT
131078,107206,2012-07-05 08:45:53,MT
81371,2417,2012-07-03 23:45:49,MT
14421,8016,2012-07-05 06:40:06,RT
203834,63,2012-07-04 08:40:04,MT
89032,1270,2012-07-04 09:53:09,RT
284664,178765,2012-07-06 10:00:39,RT
23109,4927,2012-07-04 02:22:31,RT
242832,66726,2012-07-02 08:38:34,RT
262225,138,2012-07-02 23:19:14,RT
52324,8767,2012-07-03 11:47:17,RT
183648,53831,2012-07-06 11:41:25,RT
363744,62215,2012-07-04 07:16:59,RT
283453,88,2012-07-04 08:03:14,RT
211886,153155,2012-07-04 10:22:34,RT
127253,31231,2012-07-04 12:36:29,MT
348337,14600,2012-07-04 03:10:09,MT
11625,14089,2012-07-04 03:51:57,MT
314495,19913,2012-07-04 00:54:26,RT
275083,11364,2012-07-04 18:43:10,MT
322981,146284,2012-07-04 17:10:50,RT
292707,10111,2012-07-06 16:28:57,MT
284256,13934,2012-07-05 05:47:50,RT
363524,4639,2012-07-05 13:31:14,RT
167593,26486,2012-07-02 11:26:54,RT
20078,2670,2012-07-04 18:08:22,MT
395745,214664,2012-07-04 08:45:10,RE
172924,11792,2012-07-04 01:05:38,RT
23577,54550,2012-07-04 03:12:34,RT
93100,9682,2012-07-02 04:05:15,RT
140190,88,2012-07-04 01:30:35,MT
5406,39464,2012-07-04 07:19:39,RT
425816,3549,2012-07-04 10:49:39,RT
52204,74092,2012-07-04 16:11:02,RT
194513,141619,2012-07-04 20:49:23,RT
93333,160058,2012-07-04 01:22:37,RT
38819,9021,2012-07-04 00:09:54,RT
18360,6909,2012-07-04 06:34:20,RT
8087,8051,2012-07-04 06:29:27,MT
246111,36216,2012-07-03 23:00:32,MT
289183,33313,2012-07-03 09:29:35,RT
16304,6241,2012-07-04 00:16:09,RT
147399,29482,2012-07-04 00:42:35,RT
311857,519,2012-07-03 08:13:25,RT
429133,3393,2012-07-04 16:54:51,RT
74218,9025,2012-07-04 09:57:13,RT
348708,40270,2012-07-04 05:58:39,MT
172585,87398,2012-07-04 02:41:31,RT
93529,14577,2012-07-02 05:37:37,RT
339162,23464,2012-07-04 10:16:30,RT
146688,81,2012-07-04 13:21:59,RT
107954,71414,2012-07-05 02:58:36,MT
162854,50361,2012-07-06 09:13:21,RT
394002,386435,2012-07-04 09:52:48,MT
312703,14549,2012-07-04 08:10:26,RT
138620,35352,2012-07-06 07:35:58,MT
355014,12389,2012-07-02 09:43:08,MT
11294,42643,2012-07-04 01:32:18,RT
170952,68446,2012-07-04 02:30:26,RT
332445,51059,2012-07-05 04:15:22,RT
47998,95124,2012-07-03 10:37:12,RT
158992,891,2012-07-04 02:46:53,RT
36726,15926,2012-07-04 03:08:04,MT
31620,79170,2012-07-05 13:15:47,RT
421553,263035,2012-07-04 10:22:19,RT
272587,677,2012-07-04 05:50:53,MT
80006,8189,2012-07-04 04:37:58,RT
137043,9762,2012-07-04 11:09:50,RT
275124,11792,2012-07-04 07:40:48,RT
221851,85592,2012-07-04 15:42:57,RT
43448,677,2012-07-04 11:44:56,RT
172574,1834,2012-07-04 17:11:09,RT
22630,32972,2012-07-04 01:12:50,RT
216056,24443,2012-07-04 02:07:28,RT
151474,1896,2012-07-04 14:37:45,RT
57319,57324,2012-07-05 09:14:46,RE
248963,58582,2012-07-07 13:45:23,RT
296206,1503,2012-07-04 01:20:56,RT
246853,95921,2012-07-04 07:27:25,RT
24951,1343,2012-07-04 02:02:28,RT
348842,59195,2012-07-04 13:48:06,MT
230115,69237,2012-07-04 02:59:43,RT
168674,980,2012-07-04 02:15:02,RT
138409,14572,2012-07-04 12:55:50,RT
320626,6948,2012-07-05 10:30:00,RT
230882,13808,2012-07-04 00:07:04,MT
168699,88,2012-07-03 23:24:36,RT
21236,3808,2012-07-04 06:35:19,RT
383668,69237,2012-07-04 01:55:37,RT
73683,88,2012-07-04 11:07:42,MT
127177,88,2012-07-04 01:42:09,RT
184057,76771,2012-07-06 12:10:42,RT
